Game,TotalWinPct,TotalWins,TotalLosses,Rank,DruidWin,DruidLoss,DruidWinPct,HunterWin,HunterLoss,HunterWinPct,MageWin,MageLoss,MageWinPct,PaladinWin,PaladinLoss,PaladinWinPct,PriestWin,PriestLoss,PriestWinPct,RogueWin,RogueLoss,RogueWinPct,ShamanWin,ShamanLoss,ShamanWinPct,WarlockWin,WarlockLoss,WarlockWinPct,WarriorWin,WarriorLoss,WarriorWinPct,DruidMetaPct,HunterMetaPct,MageMetaPct,PaladinMetaPct,PriestMetaPct,RogueMetaPct,ShamanMetaPct,WarlockMetaPct,WarriorMetaPct
99,0.525252525,52,47,12.2,,,0.75,,,1,,,0.454545455,,,0.2,1,,0.6,,,0.5,,,0.461538462,,,0.642857143,,,0.538461539,0.04040404,0.01010101,0.111111111,0.050505051,0.151515152,0.101010101,0.262626263,0.141414141,0.131313131
100,0.52,52,48,12.3,,,0.75,,,1,,,0.454545455,,,0.2,,,0.6,,1,0.454545455,,,0.461538462,,,0.642857143,,,0.538461539,0.04,0.01,0.11,0.05,0.15,0.11,0.26,0.14,0.13
101,0.524752475,53,48,12.2,,,0.75,,,1,1,,0.5,,,0.2,,,0.6,,,0.454545455,,,0.461538462,,,0.642857143,,,0.538461539,0.03960396,0.00990099,0.118811881,0.049504951,0.148514852,0.108910891,0.257425743,0.138613861,0.128712871
102,0.529411765,54,48,12.3,,,0.75,1,,1,,,0.5,,,0.2,,,0.6,,,0.454545455,,,0.461538462,,,0.642857143,,,0.538461539,0.039215686,0.019607843,0.117647059,0.049019608,0.147058824,0.107843137,0.254901961,0.137254902,0.12745098
103,0.524271845,54,49,12.4,,,0.75,,,1,,,0.5,,,0.2,,,0.6,,,0.454545455,,,0.461538462,,1,0.6,,,0.538461539,0.038834951,0.019417476,0.116504854,0.048543689,0.145631068,0.106796117,0.252427185,0.145631068,0.126213592
104,0.528846154,55,49,12.3,,,0.75,,,1,,,0.5,,,0.2,,,0.6,,,0.454545455,,,0.461538462,,,0.6,1,,0.571428571,0.038461538,0.019230769,0.115384615,0.048076923,0.144230769,0.105769231,0.25,0.144230769,0.134615385
105,0.523809524,55,50,12.4,,,0.75,,,1,,,0.5,,,0.2,,,0.6,,,0.454545455,,1,0.444444444,,,0.6,,,0.571428571,0.038095238,0.019047619,0.114285714,0.047619048,0.142857143,0.104761905,0.257142857,0.142857143,0.133333333
106,0.528301887,56,50,12.3,,,0.75,,,1,1,,0.538461539,,,0.2,,,0.6,,,0.454545455,,,0.444444444,,,0.6,,,0.571428571,0.037735849,0.018867925,0.122641509,0.047169811,0.141509434,0.103773585,0.254716981,0.141509434,0.132075472
107,0.53271028,57,50,12.4,,,0.75,,,1,,,0.538461539,,,0.2,,,0.6,1,,0.5,,,0.444444444,,,0.6,,,0.571428571,0.037383178,0.018691589,0.121495327,0.046728972,0.140186916,0.112149533,0.252336449,0.140186916,0.130841122
108,0.537037037,58,50,11.1,,,0.75,,,1,,,0.538461539,,,0.2,,,0.6,,,0.5,1,,0.464285714,,,0.6,,,0.571428571,0.037037037,0.018518519,0.12037037,0.046296296,0.138888889,0.111111111,0.259259259,0.138888889,0.12962963
